recno,2MASS,UGCS,OName,RAJ2000,DEJ2000,rPos,SpType,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,RV,e_RV,r_RV,U,e_U,V,e_V,W,e_W,Gmag,e_Gmag,GBPmag,e_GBPmag,GRPmag,e_GRPmag,Pop,SimbadName
246,J04331003+2433433,,V830 Tau,68.291826,24.561924,Gaia,K7.5,7.247,0.112,-21.23,0.074,7.657,0.041,18.2,0.2,1,-17.41,0.21,-11.15,0.07,-9.83,0.04,11.693,0.002,12.595,0.01,10.756,0.007,red,2MASS J04331003+2433433
247,J04331435+2614235,J043314.36+261423.3,IRAS 04301+2608,68.309877,26.239777,Gaia,M0,8.934,1.995,-19.171,1.194,4.42,0.857,,,,,,,,,,19.416,0.007,21.46,0.332,17.647,0.027,blue,2MASS J04331435+2614235
248,J04331650+2253204,J043316.55+225320.0,IRAS 04302+2247,68.318754,22.889,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04331650+2253204
249,J04331907+2246342,,IRAS 04303+2240,68.329529,22.776076,Gaia,M0.5,10.941,0.462,-20.154,0.345,6.772,0.282,,,,,,,,,,16.093,0.056,18.084,0.171,14.658,0.172,blue,2MASS J04331907+2246342
250,J04332621+2245293,,XEST 17-036,68.359288,22.758056,Gaia,M4,8.615,0.268,-16.75,0.201,6.283,0.163,,,,,,,,,,16.508,0.002,19.439,0.043,14.952,0.006,blue,2MASS J04332621+2245293
251,J04332789+1758436,J043327.89+175843.7,,68.366302,17.978753,Gaia,M:,10.473,0.643,-19.371,0.361,8.04,0.287,,,,,,,,,,18.541,0.021,19.421,0.097,17.063,0.084,blue,2MASS J04332789+1758436
252,J04333278+1800436,,,68.386759,18.012034,Gaia,M1,13.569,0.13,-18.046,0.064,6.793,0.058,,,,,,,,,,13.532,0.003,14.867,0.02,12.366,0.008,blue,2MASS J04333278+1800436
253,J04333297+1801004,,HD 28867 B,68.386868,18.016738,Gaia,B9.5,12.434,0.173,-19.565,0.091,6.667,0.081,,,,,,,,,,6.987,0.001,7.019,0.001,6.942,0.003,blue,2MASS J04333297+1801004
254,J04333297+1801004,,HD 28867 A+C,68.387758,18.016638,Gaia,B9,8.012,0.206,-19.606,0.104,6.419,0.082,,,,,,,,,,6.868,0.001,6.966,0.002,6.705,0.002,blue,2MASS J04333297+1801004
255,J04333405+2421170,,GI Tau,68.391948,24.354652,Gaia,M0.4,5.883,0.108,-20.551,0.076,7.663,0.046,17.29,0.04,1,-16.3,0.06,-10.46,0.07,-9.93,0.07,12.699,0.036,13.944,0.156,11.537,0.095,red,2MASS J04333405+2421170
256,J04333456+2421058,,GK Tau,68.394048,24.351538,Gaia,K6.5,7.753,0.095,-20.483,0.07,7.736,0.043,18.6,1.4,6,-17.87,1.36,-10.9,0.15,-9.37,0.31,11.877,0.014,12.922,0.054,10.817,0.037,red,2MASS J04333456+2421058
257,J04333678+2609492,,IS Tau A+B,68.403349,26.163556,Gaia,M0,8.158,0.527,-17.37,0.337,7.496,0.279,,,,,,,,,,13.616,0.01,15.299,0.044,12.33,0.022,red,2MASS J04333678+2609492
258,J04333905+2227207,J043339.06+222720.6,,68.412821,22.455682,Gaia,M1.75,,,,,,,,,,,,,,,,17.173,0.012,17.98,0.027,15.448,0.016,,2MASS J04333905+2227207
259,J04333906+2520382,,DL Tau,68.412864,25.343837,Gaia,K5.5,9.329,0.087,-18.29,0.065,6.276,0.048,13.94,0.14,1,-14.16,0.16,-13.55,0.12,-7.12,0.05,12.143,0.013,13.021,0.051,11.106,0.033,blue,2MASS J04333906+2520382
260,,,HN Tau B,68.41347,17.863778,Gaia,M4.8,8.554,0.28,-17.395,0.154,6.692,0.127,,,,,,,,,,16.266,0.004,17.847,0.063,14.825,0.011,blue,
261,J04333935+1751523,,HN Tau A,68.414065,17.864448,Gaia,K5,13.163,0.348,-18.613,0.198,7.322,0.158,,,,,,,,,,13.431,0.018,14.147,0.055,12.525,0.058,blue,2MASS J04333935+1751523
262,J04334171+1750402,J043341.73+175040.0,,68.423921,17.844398,Gaia,M4,12.727,0.168,-19.776,0.088,6.834,0.072,,,,,,,,,,14.617,0.001,16.529,0.008,13.296,0.004,blue,2MASS J04334171+1750402
263,J04334291+2526470,J043342.92+252646.7,,68.428869,25.446247,Gaia,M8.75,5.13,1.121,-22.775,0.814,7.625,0.598,,,,,,,,,,19.64,0.005,21.416,0.253,17.927,0.021,red,2MASS J04334291+2526470
264,J04334465+2615005,,,68.436116,26.250045,Gaia,M5,6.506,0.398,-17.315,0.243,5.772,0.192,,,,,,,,,,16.498,0.007,,,,,blue,2MASS J04334465+2615005
265,J04334871+1810099,,DM Tau,68.45311,18.169358,Gaia,M3,11.788,0.123,-18.361,0.059,6.89,0.051,18.607,0.011,1,-17.19,0.04,-14.71,0.11,-7.74,0.08,13.098,0.003,14.058,0.021,12.048,0.006,blue,2MASS J04334871+1810099
266,J04335200+2250301,,CI Tau,68.466768,22.841619,Gaia,K5.5,8.904,0.101,-17.067,0.075,6.301,0.047,16.4,1.3,6,-15.89,1.27,-12.93,0.14,-7.68,0.28,12.145,0.012,13.16,0.05,11.051,0.033,blue,2MASS J04335200+2250301
267,J04335245+2612548,J043352.46+261254.7,,68.468622,26.21514,Gaia,M8.25,,,,,,,,,,,,,,,,21.055,0.024,,,,,,2MASS J04335245+2612548
268,J04335252+2256269,,XEST 17-059,68.468844,22.940807,2MASS,M5.75,,,,,,,,,,,,,,,,,,,,,,,2MASS J04335252+2256269
269,,J043354.07+225119.1,,68.475301,22.855329,UKIDSS,L0.5,,,,,,,,,,,,,,,,,,,,,,,
270,J04335470+2613275,J043354.58+261325.7,IT Tau B,68.477475,26.223751,Gaia,M2.9,7.678,0.335,-18.564,0.204,5.428,0.154,,,,,,,,,,15.469,0.005,17.177,0.034,13.932,0.02,blue,2MASS J04335470+2613275
271,J04335470+2613275,,IT Tau A,68.478011,26.224227,Gaia,K5,9.465,0.171,-17.466,0.103,6.173,0.075,,,,,,,,,,13.215,0.006,14.71,0.028,11.98,0.019,blue,2MASS J04335470+2613275
272,J04335546+1838390,,J2-2041,68.481111,18.644184,2MASS,M3.7,,,,,,,,,,,,,,,,,,,,,,,2MASS J04335546+1838390
273,J04340619+2418508,J043406.20+241850.8,,68.52584,24.314014,Gaia,M8,6.38,0.663,-20.905,0.466,7.554,0.309,,,,,,,,,,18.508,0.003,20.85,0.15,16.889,0.009,red,2MASS J04340619+2418508
274,J04341099+2251445,,JH 108,68.545851,22.862258,Gaia,M1.5,8.903,0.123,-17.267,0.094,6.182,0.064,,,,,,,,,,13.917,0.007,15.456,0.029,12.699,0.02,blue,2MASS J04341099+2251445
275,J04341527+2250309,J043415.28+225030.8,CFHT 1,68.563703,22.841815,Gaia,M6,10.082,0.944,-17.498,0.741,5.815,0.552,,,,,,,,,,19.145,0.006,21.328,0.193,17.363,0.016,blue,2MASS J04341527+2250309
276,J04343128+1722201,J043431.28+172220.0,,68.630423,17.37217,Gaia,M4.25,12.135,0.143,-19.784,0.094,6.785,0.072,,,,,,,,,,14.475,0.003,16.039,0.029,13.196,0.007,blue,2MASS J04343128+1722201
277,J04344544+2308027,J043445.45+230802.6,,68.689406,23.134001,Gaia,M5.25,10.958,0.402,-17.55,0.236,5.981,0.185,,,,,,,,,,16.803,0.001,19.381,0.05,15.319,0.004,blue,2MASS J04344544+2308027
278,J04345542+2428531,,AA Tau,68.730943,24.481309,Gaia,M0.6,3.483,0.354,-20.987,0.192,7.289,0.13,16.98,0.04,1,-15.6,0.11,-10.4,0.22,-11.33,0.26,14.486,0.065,15.9,0.182,13.146,0.197,red,2MASS J04345542+2428531
279,J04345693+2258358,,XEST 08-003,68.737269,22.97652,Gaia,M1.5,11.705,0.105,-16.411,0.063,6.147,0.061,16.2,1.5,11,-16.38,1.46,-14.27,0.18,-5.69,0.33,13.428,0.003,14.719,0.012,12.288,0.009,blue,2MASS J04345693+2258358
280,J04350850+2311398,J043508.51+231139.7,,68.785511,23.194324,Gaia,M6,7.236,0.352,-20.977,0.174,7.694,0.138,,,,,,,,,,16.369,0.002,18.938,0.014,14.894,0.006,red,2MASS J04350850+2311398
281,J04351316+1725496,J043513.17+172549.6,,68.804931,17.430412,Gaia,M4.5,11.307,0.144,-18.033,0.084,6.507,0.072,,,,,,,,,,14.249,0.001,16.024,0.005,12.962,0.002,blue,2MASS J04351316+1725496
282,J04352020+2232146,,HO Tau,68.834256,22.537305,Gaia,M3.2,9.832,0.092,-16.63,0.061,6.196,0.048,,,,,,,,,,13.927,0.01,15.067,0.06,12.865,0.038,blue,2MASS J04352020+2232146
283,J04352089+2254242,,FF Tau A+B,68.837149,22.906649,Gaia,K8,9.723,0.137,-19.245,0.079,6.179,0.065,14.165,0.015,1,-13.74,0.05,-15.12,0.17,-7.54,0.12,12.804,0.001,14.142,0.006,11.661,0.003,blue,2MASS J04352089+2254242
284,J04352450+1751429,,HBC 412 A+B,68.852099,17.861804,Gaia,M2.6,,,,,,,18.587,0.012,1,,,,,,,12.986,0.003,14.334,0.006,11.804,0.007,,2MASS J04352450+1751429
285,J04352737+2414589,,DN Tau,68.864102,24.249607,Gaia,M0.3,6.055,0.131,-20.771,0.087,7.799,0.054,16.3,0.02,1,-15.37,0.04,-10.63,0.08,-9.46,0.09,11.481,0.008,12.372,0.03,10.536,0.022,red,2MASS J04352737+2414589
286,J04353536+2408266,J043535.30+240827.2,IRAS 04325+2402 C,68.897341,24.14073,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04353536+2408266
287,J04353539+2408194,J043535.39+240819.5,IRAS 04325+2402 A+B,68.897465,24.138729,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04353539+2408194
288,J04354093+2411087,,CoKu Tau 3 A,68.920653,24.185711,Gaia,M0.5,5.903,0.265,-21.527,0.187,7.986,0.145,,,,,,,,,,15.628,0.008,17.744,0.046,14.158,0.022,red,2MASS J04354093+2411087
289,,,CoKu Tau 3 B,68.920712,24.185127,Gaia,M4.3,4.942,0.502,-21.696,0.346,8.264,0.263,,,,,,,,,,17.521,0.007,,,,,red,
290,J04354183+2234115,J043541.84+223411.4,KPNO 8,68.92438,22.56981,Gaia,M5.75,10.962,0.292,-17.962,0.185,6.525,0.16,,,,,,,,,,16.917,0.002,19.45,0.041,15.435,0.007,blue,2MASS J04354183+2234115
291,J04354203+2252226,,XEST 08-033,68.925196,22.872876,Gaia,M4.75,10.02,0.335,-16.77,0.179,6.17,0.133,,,,,,,,,,15.338,0.002,17.926,0.02,13.867,0.008,blue,2MASS J04354203+2252226
292,J04354526+2737130,J043545.27+273713.0,,68.938712,27.6202,Gaia,M9.25,14.201,1.472,-25.788,1.129,8.835,1.08,,,,,,,,,,20.029,0.006,21.288,0.258,18.339,0.033,red,2MASS J04354526+2737130
293,J04354733+2250216,,HQ Tau,68.947283,22.839276,Gaia,K2,13.52,0.457,-15.901,0.312,6.304,0.213,16.65,0.11,1,-17.15,0.23,-14.47,0.53,-4.49,0.37,12.095,0.051,13.391,0.218,10.8,0.13,blue,2MASS J04354733+2250216
294,J04354778+2523436,,,68.949175,25.395352,Gaia,M4.5,8.267,0.474,-21.161,0.318,7.694,0.215,,,,,,,,,,13.665,0.001,15.625,0.004,12.333,0.002,red,2MASS J04354778+2523436
295,J04355109+2252401,J043551.10+225239.8,KPNO 15,68.962934,22.877674,Gaia,M2.75,6.316,0.196,-28.151,0.106,6.161,0.075,,,,,,,,,,14.736,0.002,16.532,0.015,13.442,0.006,blue,2MASS J04355109+2252401
296,J04355143+2249119,J043551.43+224911.8,KPNO 9,68.964334,22.819894,Gaia,M8.5,10.976,3.697,-16.057,1.628,6.176,1.391,,,,,,,,,,20.599,0.01,21.437,0.239,18.756,0.035,blue,2MASS J04355143+2249119
297,J04355209+2255039,,XEST 08-047,68.967097,22.917743,Gaia,M4.5,8.776,0.339,-8.093,0.18,6.281,0.113,,,,,,,,,,15.495,0.002,17.88,0.026,14.021,0.004,blue,2MASS J04355209+2255039
298,J04355277+2254231,,HP Tau,68.969967,22.906373,Gaia,K4,8.822,0.246,-13.95,0.143,5.645,0.107,17.7,1.8,6,-17.48,1.79,-12.48,0.28,-6.66,0.28,13.051,0.004,14.378,0.015,11.831,0.008,blue,2MASS J04355277+2254231
299,J04355286+2250585,,XEST 08-049,68.970333,22.849515,Gaia,M4.25,10.95,0.192,-16.53,0.117,6.389,0.092,,,,,,,,,,14.741,0.002,16.973,0.011,13.344,0.003,blue,2MASS J04355286+2250585
300,J04355349+2254089,,HP Tau/G3,68.972966,22.902421,Gaia,M0.6,11.375,0.33,-18.477,0.167,6.363,0.085,,,,,,,,,,13.343,0.002,14.857,0.009,12.126,0.007,blue,2MASS J04355349+2254089
301,J04355415+2254134,,HP Tau/G2,68.975703,22.90368,Gaia,G2,11.873,0.138,-9.985,0.08,6.026,0.048,16.6,1.0,1,-17.39,0.99,-10.74,0.11,-2.56,0.16,10.51,0.001,11.449,0.005,9.575,0.003,blue,2MASS J04355415+2254134
302,J04355683+2352049,,RX J0435.9+2352,68.986852,23.867978,Gaia,M2,7.188,0.385,-21.045,0.262,7.924,0.182,16.605,0.011,1,-15.74,0.09,-11.08,0.29,-9.07,0.28,12.445,0.001,13.752,0.008,11.31,0.004,red,2MASS J04355683+2352049
303,J04355684+2254360,,Haro 6-28 A+B,68.986939,22.909952,Gaia,M2,,,,,,,16.8,0.9,3,,,,,,,14.875,0.01,16.62,0.036,13.462,0.02,,2MASS J04355684+2254360
304,J04355760+2253574,J043557.61+225357.3,,68.990101,22.899213,Gaia,M4.5,,,,,,,,,,,,,,,,19.908,0.013,21.049,0.155,17.677,0.014,,2MASS J04355760+2253574
305,J04355881+2438404,,,68.995122,24.644507,Gaia,M3,10.201,0.149,-15.047,0.11,6.101,0.068,,,,,,,,,,14.098,0.002,15.756,0.009,12.847,0.005,blue,2MASS J04355881+2438404
306,J04355892+2238353,,XEST 09-042,68.995597,22.643058,Gaia,K8,10.809,0.094,-15.773,0.053,6.292,0.044,16.7,1.0,11,-16.63,0.98,-13.21,0.11,-5.96,0.2,11.806,0.003,12.855,0.014,10.806,0.009,blue,2MASS J04355892+2238353
307,J04355949+2238291,J043559.50+223829.0,,68.997976,22.641347,Gaia,M1,11.847,0.4,-16.94,0.234,7.126,0.214,,,,,,,,,,18.12,0.011,19.417,0.065,16.797,0.056,blue,2MASS J04355949+2238291
308,J04360131+1726120,,,69.005528,17.436612,Gaia,M3,12.519,0.123,-18.624,0.065,6.867,0.066,,,,,,,,,,14.444,0.024,15.752,0.094,13.277,0.061,blue,2MASS J04360131+1726120
309,J04360678+2425500,J043606.78+242549.7,,69.02829,24.430578,2MASS,M9.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04360678+2425500
310,J04361030+2159364,J043610.31+215936.4,,69.04298,21.993364,Gaia,M8.5,9.699,1.095,-23.523,0.71,8.457,0.595,,,,,,,,,,19.674,0.008,21.497,0.256,17.981,0.023,red,2MASS J04361030+2159364
311,J04361038+2259560,J043610.38+225955.8,CFHT 2,69.043317,22.998821,Gaia,M7.5,10.807,1.58,-15.959,0.786,5.84,0.481,,,,,,,,,,18.788,0.004,20.842,0.202,17.067,0.012,blue,2MASS J04361038+2259560
312,J04361909+2542589,,LkCa 14,69.079632,25.716271,Gaia,K5,8.912,0.194,-27.474,0.116,7.811,0.083,16.65,0.04,1,-16.21,0.07,-14.5,0.17,-10.56,0.14,11.225,0.003,11.978,0.006,10.43,0.005,red,2MASS J04361909+2542589
313,J04363248+2421395,J043632.50+242139.5,,69.135439,24.360956,Gaia,M8,8.907,0.381,-14.472,0.248,6.294,0.191,,,,,,,,,,16.087,0.002,19.043,0.031,14.515,0.008,blue,2MASS J04363248+2421395
314,J04363893+2258119,J043638.93+225811.7,CFHT 3,69.162248,22.969888,Gaia,M7.75,9.548,0.731,-15.974,0.372,5.438,0.333,,,,,,,,,,18.449,0.003,21.323,0.21,16.759,0.009,blue,2MASS J04363893+2258119
315,J04372171+2651014,J043721.72+265101.2,,69.340553,26.8503,Gaia,M4,8.634,0.182,-26.989,0.11,7.755,0.071,,,,,,,,,,14.337,0.001,15.972,0.006,13.098,0.002,red,2MASS J04372171+2651014
316,J04373705+2331080,J043737.07+233107.4,,69.404377,23.518908,2MASS,L0,,,,,,,,,,,,,,,,,,,,,,,2MASS J04373705+2331080
317,J04380083+2558572,J043800.85+255857.0,ITG 2,69.503638,25.982479,Gaia,M7.25,4.902,0.311,-22.632,0.245,6.873,0.174,,,,,,,,,,16.239,0.004,,,,,red,2MASS J04380083+2558572
318,J04381486+2611399,J043814.85+261139.6,,69.562033,26.194337,Gaia,M7.25,4.014,1.365,-23.168,1.007,6.877,0.694,,,,,,,,,,19.766,0.006,21.567,0.325,17.976,0.02,red,2MASS J04381486+2611399
319,J04381630+2326402,J043816.30+232640.2,,69.567936,23.444419,Gaia,M4.75,7.849,0.194,-21.799,0.119,7.94,0.105,17.3,0.6,8,-16.37,0.61,-11.82,0.17,-9.1,0.07,15.243,0.001,17.263,0.01,13.886,0.003,red,2MASS J04381630+2326402
320,J04382134+2609137,J043821.34+260913.5,GM Tau,69.588939,26.15373,Gaia,M5,5.469,0.27,-22.974,0.215,7.23,0.149,15.3,1.8,4,-14.7,1.79,-12.26,0.35,-10.37,0.25,16.433,0.04,18.367,0.118,14.932,0.117,red,2MASS J04382134+2609137
321,J04382858+2610494,,DO Tau,69.619147,26.180317,Gaia,M0.3,6.128,0.126,-21.34,0.091,7.175,0.052,16.04,0.17,1,-15.6,0.19,-11.72,0.1,-9.59,0.07,12.395,0.019,13.324,0.096,11.276,0.054,red,2MASS J04382858+2610494
322,J04383528+2610386,,HV Tau A+B,69.647067,26.177308,Gaia,M4.1,4.888,0.232,-21.783,0.171,7.465,0.115,,,,,,,,,,12.956,0.003,14.939,0.013,11.614,0.006,red,2MASS J04383528+2610386
323,,J043835.49+261041.3,HV Tau C,69.647967,26.178148,Gaia,K6,,,,,,,,,,,,,,,,17.267,0.014,17.622,0.026,15.542,0.025,,
324,J04383907+1546137,,HD 285957,69.66286,15.770351,Gaia,K1,12.924,0.096,-19.961,0.04,7.185,0.056,17.991,0.015,1,-15.89,0.04,-16.21,0.12,-7.38,0.06,10.508,0.001,11.07,0.003,9.824,0.002,blue,2MASS J04383907+1546137
325,J04384502+1737433,J043845.02+173743.3,,69.68765,17.628648,Gaia,M4.25,11.613,0.1,-18.624,0.06,6.754,0.051,,,,,,,,,,14.791,0.004,16.235,0.038,13.565,0.009,blue,2MASS J04384502+1737433
326,J04384725+1737260,J043847.26+173726.0,,69.696962,17.623826,Gaia,M5.5,11.289,0.176,-18.369,0.113,6.864,0.091,,,,,,,,,,16.247,0.003,18.02,0.041,14.904,0.01,blue,2MASS J04384725+1737260
327,J04385859+2336351,J043858.60+233635.0,,69.744214,23.609673,Gaia,M4.25,8.642,0.254,-21.198,0.148,7.886,0.119,16.7,0.6,8,-16.0,0.62,-11.96,0.2,-8.32,0.06,15.687,0.002,17.92,0.012,14.259,0.003,red,2MASS J04385859+2336351
328,J04385871+2323595,J043858.72+232359.4,,69.74468,23.399762,Gaia,M6.5,7.156,0.267,-21.448,0.168,7.728,0.151,15.4,0.7,8,-14.45,0.72,-11.93,0.26,-8.86,0.09,16.286,0.003,18.73,0.027,14.827,0.007,red,2MASS J04385871+2323595
329,J04390163+2336029,J043901.63+233602.8,,69.756846,23.600728,Gaia,M4.9,8.567,0.174,-21.851,0.103,7.824,0.08,16.6,0.5,8,-15.85,0.51,-12.36,0.14,-8.6,0.04,14.35,0.001,16.156,0.017,13.053,0.004,red,2MASS J04390163+2336029
330,J04390396+2544264,J043903.96+254426.2,,69.766535,25.740561,Gaia,M7.25,7.037,0.362,-20.606,0.249,6.945,0.211,,,,,,,,,,17.27,0.005,20.523,0.121,15.658,0.017,red,2MASS J04390396+2544264
331,J04390453+2333199,,,69.76897,23.555432,Gaia,M5,,,,,,,,,,,,,,,,13.783,0.002,15.647,0.01,12.462,0.002,,2MASS J04390453+2333199
332,J04390525+2337450,J043905.25+233744.8,,69.77193,23.629097,Gaia,K5,,,,,,,,,,,,,,,,15.319,0.025,15.896,0.074,14.353,0.067,,2MASS J04390525+2337450
333,J04390637+2334179,J043906.38+233417.8,,69.776616,23.571552,Gaia,M7.5,8.176,0.365,-21.82,0.207,8.056,0.164,16.4,0.5,8,-15.59,0.55,-11.84,0.27,-8.58,0.14,15.855,0.002,18.352,0.026,14.394,0.005,red,2MASS J04390637+2334179
334,J04391389+2553208,J043913.89+255320.6,IRAS 04361+2547,69.807887,25.889133,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04391389+2553208
335,J04391741+2247533,,VY Tau A+B,69.822628,22.798073,Gaia,M2,8.91,0.228,-19.195,0.15,6.566,0.116,17.716,0.016,1,-16.95,0.07,-13.75,0.27,-8.43,0.2,12.894,0.004,14.006,0.008,11.713,0.006,blue,2MASS J04391741+2247533
336,J04391779+2221034,,LkCa 15,69.824179,22.350866,Gaia,K5.5,10.471,0.127,-17.383,0.06,6.295,0.048,17.65,0.03,1,-17.23,0.06,-14.16,0.12,-6.91,0.09,11.589,0.008,12.344,0.023,10.694,0.017,blue,2MASS J04391779+2221034
337,J04392090+2545021,,GN Tau A,69.837142,25.750509,Gaia,M2.5,,,,,,,16.7,1.3,4,,,,,,,14.562,0.043,16.23,0.119,13.066,0.123,,2MASS J04392090+2545021
338,,,GN Tau B,69.837255,25.750445,Gaia,,,,,,,,,,,,,,,,,14.185,0.02,15.922,0.045,12.726,0.041,,
339,J04393364+2359212,J043933.65+235921.0,,69.890205,23.989137,Gaia,M5,7.279,0.209,-20.993,0.114,7.867,0.102,,,,,,,,,,15.025,0.01,17.024,0.042,13.712,0.034,red,2MASS J04393364+2359212
340,J04393519+2541447,J043935.18+254144.5,IRAS 04365+2535,69.89664,25.695757,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04393519+2541447
341,J04394488+2601527,,ITG 15,69.937038,26.031213,Gaia,M5,7.459,0.222,-22.107,0.144,7.307,0.111,,,,,,,,,,14.998,0.004,17.814,0.026,13.48,0.01,red,2MASS J04394488+2601527
342,J04394748+2601407,J043947.48+260140.4,CFHT 4,69.947874,26.027876,Gaia,M7,6.628,0.483,-21.865,0.309,6.797,0.237,,,,,,,,,,17.78,0.006,20.88,0.306,16.009,0.034,red,2MASS J04394748+2601407
343,,,IRAS 04368+2557,69.974167,26.052917,Spitzer,,,,,,,,,,,,,,,,,,,,,,,,
344,J04395574+2545020,,IC 2087 IR,69.982301,25.750452,Gaia,K:,6.192,0.413,-20.343,0.273,6.699,0.239,,,,,,,,,,17.381,0.008,20.802,0.078,15.641,0.023,red,2MASS J04395574+2545020
345,J04400067+2358211,J044000.67+235820.8,,70.002836,23.972434,Gaia,M6,8.62,0.309,-20.736,0.162,8.299,0.159,,,,,,,,,,16.341,0.003,18.676,0.026,14.87,0.008,red,2MASS J04400067+2358211
346,J04400174+2556292,J044001.74+255629.0,,70.007363,25.941409,Gaia,M5.5,,,,,,,,,,,,,,,,19.608,0.019,,,,,,2MASS J04400174+2556292
347,J04400800+2605253,,IRAS 04370+2559,70.033379,26.090309,Gaia,,5.727,0.884,-20.132,0.545,7.336,0.442,,,,,,,,,,18.712,0.01,20.614,0.366,16.986,0.038,red,2MASS J04400800+2605253
348,J04401447+2729112,J044014.49+272910.9,,70.060409,27.48635,Gaia,M7.25,10.266,1.007,-27.402,0.604,7.362,0.387,,,,,,,,,,18.738,0.005,,,,,red,2MASS J04401447+2729112
349,J04403979+2519061,J044039.79+251906.0,,70.165808,25.318291,Gaia,M5.25,6.351,0.803,-20.568,0.515,6.57,0.476,,,,,,,,,,16.504,0.002,19.505,0.067,14.882,0.008,red,2MASS J04403979+2519061
350,,,JH 223 B,70.206108,25.855751,Gaia,,4.425,0.279,-19.43,0.168,7.111,0.135,,,,,,,,,,16.899,0.003,,,,,red,
351,J04404950+2551191,,JH 223 A,70.206316,25.855184,Gaia,M2.8,4.382,0.116,-19.63,0.068,7.146,0.055,,,,,,,,,,14.139,0.008,15.761,0.03,12.876,0.029,red,2MASS J04404950+2551191
352,J04410424+2557561,,Haro 6-32,70.267724,25.965477,Gaia,M5,,,,,,,,,,,,,,,,14.656,0.002,16.953,0.006,13.228,0.003,,2MASS J04410424+2557561
353,J04410470+2451062,,IW Tau A+B,70.269658,24.851676,Gaia,M0.9,,,,,,,15.88,0.01,1,,,,,,,11.881,0.006,,,,,,2MASS J04410470+2451062
354,J04410826+2556074,J044108.26+255607.2,ITG 33 A,70.284457,25.935286,Gaia,M3,7.197,0.435,-21.951,0.237,7.101,0.21,,,,,,,,,,17.603,0.01,19.09,0.056,16.22,0.027,red,2MASS J04410826+2556074
355,J04411078+2555116,J044110.78+255511.4,ITG 34,70.294965,25.919786,Gaia,M5.5,4.52,0.503,-20.112,0.294,6.377,0.254,,,,,,,,,,18.138,0.023,20.744,0.076,16.573,0.083,red,2MASS J04411078+2555116
356,J04411267+2546354,J044112.67+254636.2,IRAS 04381+2540,70.30283,25.776506,2MASS,,,,,,,,,,,,,,,,,,,,,,,,2MASS J04411267+2546354
357,J04411681+2840000,,CoKu Tau 4,70.320065,28.666592,Gaia,M1.1,4.136,0.704,-22.419,0.423,5.864,0.246,15.98,0.04,1,-15.93,0.18,-13.94,0.69,-12.12,0.74,13.718,0.001,15.158,0.013,12.392,0.003,cyan,2MASS J04411681+2840000
358,J04412464+2543530,J044124.65+254352.8,ITG 40,70.352685,25.731396,2MASS,M3.5,,,,,,,,,,,,,,,,,,,,,,,2MASS J04412464+2543530
359,J04413882+2556267,,IRAS 04385+2550,70.411804,25.940678,Gaia,M0,2.504,0.772,-15.483,0.389,6.259,0.384,,,,,,,,,,15.936,0.025,17.552,0.104,14.401,0.081,red,2MASS J04413882+2556267
360,J04414489+2301513,J044144.89+230151.3,,70.437108,23.030854,Gaia,M8.5,8.955,0.931,-21.431,0.456,8.304,0.378,,,,,,,,,,18.967,0.007,20.903,0.298,17.32,0.022,red,2MASS J04414489+2301513
361,J04414565+2301580,,,70.440245,23.03269,Gaia,M4.3,8.3,0.189,-21.553,0.103,8.016,0.083,,,,,,,,,,13.827,0.001,15.435,0.01,12.576,0.004,red,2MASS J04414565+2301580
362,J04414825+2534304,J044148.25+253430.4,,70.451073,25.575074,Gaia,M7.75,4.511,0.4,-19.605,0.251,7.344,0.202,,,,,,,,,,18.28,0.012,19.805,0.082,16.817,0.031,red,2MASS J04414825+2534304
363,J04420548+2522562,,LkHa 332/G2 A+B,70.5229,25.382203,Gaia,M0.5,5.493,0.641,-18.99,0.385,8.138,0.391,,,,,,,,,,13.514,0.004,15.194,0.019,12.224,0.012,red,2MASS J04420548+2522562
364,J04420732+2523032,,LkHa 332/G1 A+B,70.530549,25.384147,Gaia,M2.5,,,,,,,,,,,,,,,,13.532,0.003,15.496,0.013,12.137,0.005,,2MASS J04420732+2523032
365,J04420777+2523118,,V955 Tau A+B,70.532465,25.386556,Gaia,K7,-0.74,0.912,-14.148,0.537,6.245,0.485,15.7,,6,,,,,,,13.638,0.029,15.048,0.108,12.277,0.077,red,2MASS J04420777+2523118
366,J04422101+2520343,J044221.02+252034.2,CIDA 7,70.587612,25.342778,Gaia,M4.75,4.891,0.198,-19.424,0.115,7.344,0.123,,,,,,,,,,15.25,0.002,17.365,0.016,13.842,0.005,red,2MASS J04422101+2520343
367,J04423769+2515374,,DP Tau,70.657082,25.260276,Gaia,M0.8,,,,,,,,,,,,,,,,13.51,0.015,14.444,0.048,12.458,0.046,,2MASS J04423769+2515374
